16401.83,1,34.3,17,0.26,3181,17,15,118899.52,83,839,63,11.8,Web Banking,Biometric,0,0,1,0
9678.29,8,67.8,39,0.15,1390,3,2,408168.98,9,3938,80,35.7,ATM,OTP,1,0,1,0
19013.38,5,17.8,42,0.55,3716,16,6,80771.69,78,11111,11,74.8,Mobile App,OTP,1,1,0,0
13834.95,3,88.9,63,0.24,4694,16,10,382265.32,17,3171,87,0.0,Mobile App,OTP,1,0,0,0
17501.15,9,81.5,55,0.24,3842,12,0,204382.64,85,10126,99,43.0,Mobile App,Two-Factor Authentication,0,0,1,0
5100.73,5,17.2,75,0.56,4836,8,18,460267.17,12,7930,97,50.6,Mobile App,OTP,1,0,0,0
15157.16,7,46.6,34,0.42,1670,4,13,35075.91,63,3334,20,97.7,Mobile App,OTP,1,1,0,0
22804.42,7,15.9,37,0.2,4674,11,13,62872.76,104,12063,20,73.0,Web Banking,Two-Factor Authentication,1,1,0,0
244.04,1,84.5,61,0.38,4650,14,17,384661.12,17,6543,34,47.2,Web Banking,Two-Factor Authentication,0,1,1,0
23123.75,1,17.8,7,0.2,829,4,19,29955.39,114,8191,42,38.7,Web Banking,Password Only,0,0,1,0
723.17,12,47.6,57,0.2,875,22,5,64191.68,104,14131,40,68.7,Mobile App,Two-Factor Authentication,1,1,0,0
5492.29,12,87.9,49,0.32,310,13,20,498567.49,66,5838,78,81.1,Mobile App,OTP,1,0,0,0
2997.03,4,27.3,43,0.01,2777,22,6,98970.51,14,5341,72,67.8,Web Banking,OTP,1,1,1,0
10083.69,12,15.1,44,0.74,1321,18,20,270799.98,64,7114,66,83.0,Mobile App,OTP,0,1,1,1
19696.23,5,26.6,11,0.01,4546,17,3,393064.93,51,2635,86,9.3,Mobile App,OTP,1,0,0,0
17245.87,7,39.4,8,0.9,1958,9,18,1635.69,67,3439,49,70.5,Mobile App,Password Only,1,1,1,1
4512.38,7,81.7,50,0.18,3846,8,1,327360.87,63,1831,119,0.0,Mobile App,OTP,0,1,0,0
12683.75,12,47.7,62,0.1,3557,10,1,150099.57,55,4680,93,31.0,Mobile App,OTP,1,0,1,0
14596.35,9,79.4,69,0.34,3051,20,13,313939.47,11,9073,30,11.3,Mobile App,OTP,0,1,0,0
12673.19,3,95.5,50,0.12,3541,7,1,169331.98,75,13493,117,20.8,Mobile App,OTP,1,0,0,0
6453.5,10,72.3,58,0.03,3776,5,17,378238.76,59,3152,54,39.7,Web Banking,Two-Factor Authentication,1,0,0,0
3610.57,2,69.1,75,0.54,4768,21,16,7664.55,36,4645,28,4.3,Mobile App,Biometric,1,0,1,0
3935.5,2,74.7,27,0.86,1639,18,18,198562.2,45,13965,104,15.7,Mobile App,OTP,0,0,1,1
10102.58,9,98.3,31,0.24,1058,4,22,453347.64,21,4136,5,0.0,POS Terminal,Two-Factor Authentication,1,1,0,0
19033.56,7,15.6,28,0.29,4214,5,10,174391.58,76,12805,104,54.3,Web Banking,OTP,1,0,0,0
24756.41,7,37.1,13,0.02,1457,17,7,37438.11,98,12417,72,34.6,Mobile App,Password Only,0,1,1,0
4312.6,11,12.6,68,0.87,2527,20,16,59044.12,88,12943,89,83.0,POS Terminal,OTP,1,1,0,1
11564.08,7,68.5,54,0.18,2046,14,22,195684.62,51,14616,20,8.8,Mobile App,OTP,0,0,1,0
4357.29,10,39.0,11,0.73,2978,13,23,476435.32,14,266,96,93.0,Mobile App,Two-Factor Authentication,0,1,0,1
